Gutenberg,https://ru.wordpress.org/plugins/gutenberg/,3824,"Плагин Gutenberg поддерживает редактирование, настройку и создание сайтов в WordPress. Используйте его для тестирования бета-функций перед их официальным выпуском."
Two-Factor,https://ru.wordpress.org/plugins/two-factor/,191,"Enable Two-Factor Authentication (2FA) using time-based one-time passwords (TOTP), Universal 2nd Factor (U2F), email, and backup verification codes."
Performance Lab,https://ru.wordpress.org/plugins/performance-lab/,47,"Плагин Performance от команды WordPress Performance Team, который представляет собой набор отдельных функций производительности."
Performant Translations,https://ru.wordpress.org/plugins/performant-translations/,15,Ускоряет интернационализацию/локализацию в WordPress как никогда.
Preferred Languages,https://ru.wordpress.org/plugins/preferred-languages/,17,Выберите языки в предпочитаемом порядке для отображения WordPress.
Test jQuery Updates,https://ru.wordpress.org/plugins/wp-jquery-update-test/,7,Test different versions of jQuery.
Gutenberg,https://ru.wordpress.org/plugins/gutenberg/,3824,"Плагин Gutenberg поддерживает редактирование, настройку и создание сайтов в WordPress. Используйте его для тестирования бета-функций перед их официальным выпуском."
Two-Factor,https://ru.wordpress.org/plugins/two-factor/,191,"Enable Two-Factor Authentication (2FA) using time-based one-time passwords (TOTP), Universal 2nd Factor (U2F), email, and backup verification codes."
Performance Lab,https://ru.wordpress.org/plugins/performance-lab/,47,"Плагин Performance от команды WordPress Performance Team, который представляет собой набор отдельных функций производительности."
Performant Translations,https://ru.wordpress.org/plugins/performant-translations/,15,Ускоряет интернационализацию/локализацию в WordPress как никогда.
Preferred Languages,https://ru.wordpress.org/plugins/preferred-languages/,17,Выберите языки в предпочитаемом порядке для отображения WordPress.
Test jQuery Updates,https://ru.wordpress.org/plugins/wp-jquery-update-test/,7,Test different versions of jQuery.
"Конструктор сайтов Elementor — больше, чем просто конструктор страниц",https://ru.wordpress.org/plugins/elementor/,7071,"В конструкторе сайтов Elementor есть всё: визуальный конструктор страниц работающий на принципе перетащи и вставь, идеальный дизайн, настройки адаптивности под мобильные устройства и многое другое. Начните сейчас!"
Contact Form 7,https://ru.wordpress.org/plugins/contact-form-7/,2133,"Ещё один плагин контактных форм. Простой, но гибкий."
Yoast SEO — продвинутый SEO с руководством в реальном времени и встроенным искусственным интеллектом,https://ru.wordpress.org/plugins/wordpress-seo/,27772,"Improve your SEO with real-time feedback, schema, and clear guidance. Upgrade for AI tools, Google Docs integration, and 24/7 support, no hidden fees."
Classic Editor,https://ru.wordpress.org/plugins/classic-editor/,1207,"Включает предыдущую «классическую» версию редактора и экран редактирования записей в старом стиле, с TinyMCE, полями метаданных и прочим. Поддерживает все плагины расширения старого редактора."
WooCommerce,https://ru.wordpress.org/plugins/woocommerce/,4548,"Всё, что вам нужно, чтобы запустить интернет-магазин за считанные дни и поддерживать его рост в течение многих лет. От вашей первой продажи до миллионного дохода — Woo с вами."
LiteSpeed Cache,https://ru.wordpress.org/plugins/litespeed-cache/,2650,"Все в одном — непревзойденное ускорение & Улучшение скорости страницы: кэширование, оптимизация изображений/CSS/JS…"
